comment;rating;senti;lang
Прекрасное обслуживание, низкая цена товаров, быстрая отправка заказа. Всем рекомендую, приятно сотрудничать!!!;5;1;ru
Очень понравился сервис данного сайта, менеджер фирмы компетентен в продукции которую продают. Заказала фильтры для вытяжки, выслали мне их через двадцать минут после заказа, причем наложенным платежом и за самую низкую цену в интернете, вообщем сайт рекомендую! ;5;1;ru
Заказываю уже не в первый раз, все нравится и обслуживание и товар.;5;1;ru
Сделал заказ, но менеджер не соизволил связаться со мной чтобы уточнить заказ,  более  того пытался звонить на телефон указаный Не а сайте никто не отвечал.;1;0;ru
"Заказала аккумуляторный опрыскиватель. Прислали с большими трещинами на корпусе. Перезвонила продавцу,  он отрицает отправку испорченного товара, все претензии к Новой почте.   На Новой почте провели экспертизу - вывод ""товар отправлен продавцом с повреждениями"". Жалею об одном, больше в жизни предоплату делать не буду.  Товар у этого продавца покупать не советую. ";1;0;ru
Спасибо! Отличный магазин, приятный в общении персонал. Делаю заказ впервые – очень доволен! Товар отличного качества, полностью соответствует описанию. Всем рекомендую! Еще раз спасибо!;5;1;ru
Хорошая компания, товар соответствует описанию, цены актуальны. Связываются через Вайбер, для меня это удобно. ;5;1;ru
Качество  постельного белья и сроки доставки как и в описании. Ценовая политика приятно удивила. Буду заказывать ещё) Спасибо!);5;1;ru
Обратилась за стеклом к авто по совету друзей. Не пожалела ни секунды. Доставка, качество, цена - всё в соответствии с моими требованиями!;5;1;ru
Молодцы!!!!! рекомендую;5;1;ru
Рекомендую!Продавец учитывала все просьбы и пожелания. Пришла посылка во время. ;5;1;ru
Спасибо! Отличный магазин, приятный в общении персонал. Делаю заказ впервые – очень доволен! Товар отличного качества, полностью соответствует описанию. Всем рекомендую! Еще раз спасибо!;5;1;ru
Молодцы!!!! Рекомендую!!!;5;1;ru
спасибо за качественное и быстрое обслуживание;5;1;ru
Спасибо! Отличный магазин, приятный в общении персонал. Делаю заказ впервые – очень доволен! Товар отличного качества, полностью соответствует описанию. Всем рекомендую! Еще раз спасибо!;5;1;ru
Здравствуйте, нехорошо так делать, вы даже не позвонили мне тупо отменили заказ и всё. Ждал неделю может кто позвонит.;1;0;ru
Очень быстро получила товар , спасибо за оперативность ;4;1;ru
"На сайте указана бесплатная доставка. Перекинул деньги на карточку и на новой почте заплатил за доставку. Сказали заплатит заказчик. Честных людей похоже не осталось.
Расчет, что из-за 35 грн. ни кто шуметь не будет. ";1;0;ru
Ув.Модный Рай заберите возврат товара бракованого на Новой Почте и разберитесь с этой ситуацией.Не надо делать вид,что Вы не в чем  не виноваты.;1;0;ru
Спасибо! Отличный магазин, приятный в общении персонал. Делаю заказ впервые – очень доволен! Товар отличного качества, полностью соответствует описанию. Всем рекомендую! Еще раз спасибо!;5;1;ru
Заказала вчера телевизор,на удивление быстро доставили,сейчас смотрю фильм) сервис прекрасный! спасибо менеджеру за помощь в выборе)* подружкам уже рассказала!;5;1;ru
Отличная компания!  Наилучшие рекомендации!  Отличный товар,приятное, вежливое общение!  ;5;1;ru
Заказывал поршень скутер GY6-80см3 d=47 +0.25 mm (TEFLON) ТММР . Ребята работают быстро , молодцы ! Как магазин советую к сотрудничеству . Отзыв о качестве добавлю чуть позже , когда обкатаю поршень . Продавцу спасибо .;5;1;ru
Я довольна полностью сервисом. Быстро все!;5;1;ru
Плёнка отличная ! Магазин рекомендую всем. Спасибо огромное менеджеру, Удачи !;5;1;ru
Разочарован не то слово приобритал данный товар с учетом хорошего продукта приятным было и цена  и дополнительные о бонус наушники в подарок. По факту пришел товар вовремя, сразу цена увеличена на сто гривен сама батарея не внушила качеством пытался включить  она не включилось что очень странно  продовец мог бы позаботиться зарядить может  её  раз наложкой отправляет, ну и изюменка всему этому подарок не былв посылке.. В общем спасло что наложка, не рекомендую данного продовца.;1;0;ru
 Менеджер не хочет менять товар! Прислали магнитолу,а она не работает. Говорит что это моя вина. Грубил дерзко! Не берите ничего на этом сайте! МОШЕННИКИ!;1;0;ru
"За все время сотрудничества с магазином (около пяти лет) только положительные эмоции.В основном покупал LED лампы,работают до сих пор.Товаром всегда оставался доволен.Менеджеры хорошие,посоветуют,подскажут.Оперативная отправка.
Спасибо Вам еще раз.";5;1;ru
В этом магазине делала уже несколько покупок, всегда остаюсь довольна. Товар качественный, всегда соответствует описанию, быстрое и вежливое обслуживание. Всем рекомендую этот магазин. ;5;1;ru
Меня обслужили наилучшим образом:) Ставлю оценку отлично;5;1;ru
Отлично, быстро, точно, качественно. Спасибо за подарок! :-);5;1;ru
Отлично, быстро качественно ;5;1;ru
Приятно работать. Спасибо.;5;1;ru
Покупкой доволен. Бейсболка отличная. ;5;1;ru
Приятно работать. Спасибо.;5;1;ru
Спасибо большое за отличную работу  ,весь товар был в наличии, доставлен быстро, менеджер перезвонила ,все о товаре вежливо рассказала .;5;1;ru
Заказал насадки на паяльник DYTRON. Связались быстро. Отправили в тот же день. Сомневался по поводу качества, но как оказалось все в порядке, оригинал. Цена - супер. В общем молодцы, спасибо. Рекомендую.;5;1;ru
Приятно работать. Спасибо.;5;1;ru
"На странице товара указано ""бесплатная доставка"", при совершении заказа была выбрана  бесплатная доставка Новой Почтой. В итоге доставка была произведена за мой счёт. Будьте внимательны при совершении покупки в этом магазине.";2;0;ru
Выполнили сделку на ура. Только высший балл!;5;1;ru
МОЛОДЦЫ ребята !!!!!!!!!!! дай Бог вам здоровья,и всего!!! за доверие за товар за оперативность и простоту и открытость!!!!!!!!!!!!!!!;5;1;ru
Спасибо огромное) все супер , все очень понравилось) очень ответственно и вежливо) быстро доставили ) 😉😉☺️☺️;5;1;ru
Спасибо ремнем очень доволен! Все соответствует описанию!!!;5;1;ru
смутила низкая цена , но как выяснилось в этой компании действительно самые низкие цены и все очень быстро отработали большое спасибо рекомендую!!!!;5;1;ru
Приятная продавец, все четко и быстро, товаром довольна. Рекомендую.;5;1;ru
со мной не связались;1;0;ru
"Покупал Душ Алексеева Титан по просьбе племянницы, которая живёт в Молдавии.  Она в восторге. 
Покупка прошла на ура! вечером того же дня посылка была отправлена и мне смс с ттн от продавца. Продавца Рекомендую! Приятно иметь с такими Продавцами дело!";5;1;ru
огромное спасибо быстро и дешево всем рекомендую этого продавца !!!!;5;1;ru
Отлично. Приятные цены. Почти все есть. ;5;1;ru
Деньги взяли,товара нет!!!;1;0;ru
"Заказ пришел вовремя. Качество товара, с учетом цены хорошее. Единстенный минус, это не полная комплектация товара. При проверке на почте созвонились с продавцом объяснили ситуацию. Продавец был вежлив, извинились и согласились отправить недостающие части за свой счет.  Выслали недостающие комплектующие без задержек на следующий день. За это могу сказать спасибо.
 Продавец ответственно подходит к сделкам. Но могу посоветовать: обязательно проверяйте товар при получении - это позволит избежать неприятных моментов. 
Магазин советую!";4;1;ru
"Хочу эще рас написать свой отзыв. По какойто причине страница с обявлением и моим отзывом была удалена.
Мы заказали ""Виктория - ортопедический матрас Сонлайн""
Матрас пришол и сразу возникли вопросы. На сайте производителя и продавца указанна высота 22 сантиметра, а по факту высота 20 см. На матрасе нет ни бирки, ни наклейки с названием модели и очень сложно понять что за модель. Чехол несемный и посмотреть что внутри нет возможности. Мы роспороли окантовку и очень удивились. Ячеистый пенополиуретан отсутствует. На его месте 2 см чегото похожего на ватин из ВТОРСЫРЬЯ. Пружинный блок на месте, но наличие 7 зон жосткости под вопросом. Везде на фото разные зоны отмечаются разного цвета чехлами (другие производители и по факту так делают) здесь все одного цвета. Толщина проволоки, из которой делают пружины, вроде как отличаются немного. На данные вопросы продавцу мы получили примерно такие ответы: Продавец связался с производителем и выяснил что теперь вместо ячеистого пенополиуретана идет новый наполнитель ""ватин""(точного названия не помню) который служит дольше чем предидущий (но имеет свои недостатки). А пружинный блок они не отмечают разного цвета чехлами. Как проверить наличие 7 зон неизвестно. Не скажу что матрас плохой, по ощющениям кажется неплохим, особенно учитывая что он самый дешовый на рынке матрасов, но неприятно когда получаешь не то что заказываешь. Внешне то что мы получили больше похоже на другую модель (хотя и не полностью) которая дешевле примерно на 20 процентов. Продавец предложил вернуть на завод и заменить наполнитель на тот что в описании. Чесно говоря мы бы рады но 1000 грн на пересылку, ради того чтобы получить всеже то что мы заказывали, неохота платить.
Было предложено нам как компенсацию скидка на следующюю покупку в их магазине. Но такой вариант не очень привлекателен учитывая превый опыт.
Стоит ли иметь дело с этой фирмой и производителем решать вам. Будте готовы что  вы можете получить не то что заказывали.";2;0;ru
всё очень понравилось продавцы отзывчивые цена не большая вобшем всё на высоте буду и дальше заказывать запчясти для велосипеда сдесь;5;1;ru
Заказывала хризантемы, заказ пришёл на следующий день, все качественно упаковано, саженцы хорошие, рекомендую!;5;1;ru
Заказывал у этих ребят данное масло для доливки в задний мост Renault Master III на спарке, причем по всей Украине данное масло оказалось только у этих ребят. Отправили в день заказа, получил на следующий день наложкой. Масло долил, пока бегает моя кобылка без нареканий :=) Спасибо ребятам;5;1;ru
Заказал кроссовки в наличии не оказалось только под заказ, в итоге товар пришел в оговоренные сроки. Советую!;5;1;ru
Рекомендую продавца! Очень оперативно.  Всё описание чемодана и фото очень хорошие, как натуральные, соответствуют заявленному.;5;1;ru
Спасибо, товаром довольна;5;1;ru
"Заказ № 52888559
Товар пришел совершенно не тот что в описании. Фото на сайте не соответствует действительности. Производитель не Novline, а NLZ (ООО Диалог). С Кольчугой даже сравнивать нет смысла. Хочу сделать возврат.";1;0;ru
Только у вас всегда самые выгодные предложения:);5;1;ru
Спасибо, товаром довольна;5;1;ru
Предоплату взяли 100 грн. А сандали так и не выслали!! И на телефон не отвечают! ;1;0;ru
"акустика валит на - УРА! качество просто бомба.
спасибо огромное! 10 из 5";5;1;ru
Отличный коврик, детям приносит большую радость. Быстро связались и отправили. Спасибо. ;5;1;ru
Рекомендую к сотрудничеству. Ответственный, порядочный, отправка в срок, всё оперативно и четко. ;5;1;ru
Заказом товара доволен, всё прошло хорошо!;5;1;ru
Покупкой доволен. Покупал раскладной стол + 4 ре стула . Всё приехало в порядке и быстро.;5;1;ru
Заказывала  первый раз платье ,брюки  штапель и бриджи белые -весь товар качественный, красивый  ,пошив отличный, все на высоте ! Спасибо менеджеру Наталье за  вежливое  отношение и помощь в выборе .Процветания вам!;5;1;ru
Ставлю самую высокую оценку и всем советую!;5;1;ru
задоволена,не вперше замовляб;5;1;ru
Очень быстро обработали заказ и выслали;5;1;ru
Хороший продавець, все вчасно. Рекомендую!;5;1;ru
отличный магазин!качество супер,выполнено быстро,в жизни намного лучше чем на фото!!рекомендую всем;5;1;ru
Сделала заказ, сразу же перезвонили, отправили в тот же день! Вся информация по товару актуальна, цена дешевле чем у конкурентов, ассортимент не уступает, +есть сезонные товары. Рекомендую!;5;1;ru
хорошее качество! Рекомендую!;5;1;ru
Хорошее качество. Рекомендую ;5;1;ru
После заказа товара со мной  связался представитель фирмы и проинформировал , что надо сделать предоплату через Приват банк. Я попросил друга реализовать оплату через его телефон, что и произошло, и так получилось, что номера  телефонов заказа и оплаты не были одинаковые. Мене очень ПОНРАВИЛОСЬ, что на мой номер телефона, заказа, мене перезвонил представитель банка и проверил и уточнил оплату и заказ товара.И после того все как надо: СМС о отправке, и доставке товара.Все быстро и без задержки.  Спасибо.;5;1;ru
Прекрасный ассортимент. Порадовала доставка. Быстрее чем обычно;5;1;ru
Все супер, спасибо большое;5;1;ru
Колясочка дуже сподобалась!!! Все супер;5;1;ru
Быстрая связь, товар в наличии, цена актуальна, быстрая отправка. Вежливость, компетентность  менеджера. Качество товара хорошее. Уже порекомендовала  компанию  знакомым. Буду заказывать сама и вам рекомендую. Спасибо.;5;1;ru
"Заказала товар вечером. утром со мной связались. уточнили заказ и сбросили данные по оплате. В обед уже получила номер посылки . Все оперативно. Товар нареканий не вызывает. Получен на новой почте в целости. Спасибо ребятам за хорошую работу.
Ирина";5;1;ru
Могу смело всем посоветовать, так как действительно выполняюь хорошо свою работу. Заказ получен раньше ожидаемого));5;1;ru
Связались на следующий день, уточнили заказ и в тот же день отправили. Рекомендую!!!;5;1;ru
Та все нормально! Замовив. Отримав. Заплатив.);5;1;ru
Все супер. Заказ получила на следующий день. Отдельное спасибо за подарок!);5;1;ru
"Отличный магазин,все в оговоренные сроки.
Спасибо!";5;1;ru
"Из И.-Ф. на следующий же день посылка была уже в Киевской обл., собирают её оперативно, даже присылают ""каталог"" заказанного (листочек А4 с перечнем всех товаров, способом оплаты и т.п.. Видимо, по нему и собирают, потому что отметки есть). Если коротко, пару рекомендаций знакомым уже дали)";5;1;ru
Та все нормально! Замовив. Отримав. Заплатив.);5;1;ru
Очень помог,прочищает отлично,для частого дома нужная я вещь.;5;1;ru
Хорошие консультанты , отличный выбор товара! В общей сложности заказали 4 телефона , всеми довольны. ;5;1;ru
товар соответствует описанию, заказ выполнен в срок ;5;1;ru
Все супер:ответили быстро,товар соответствует описанию и размеру,после оплаты -заказ на следующий день доставлен.Я довольна и консультацией и магазином.Всем рекомендую.Приятных покупок)));5;1;ru
Пришла не та немножко модель которую заказывала.;3;0;ru
Ужас!!!! Не вздумайте покупать эти футболки!!! Просто кошмар какой-то. Как такое можно вообще продавать?! Фоточки то красивые выставили а пришло черти что. Их даже дома стыдно носить. Кривые, косые, не понятных размеров. А про ткань и рисунки я вообще молчу;1;0;ru
все отлично, рекомендую;5;1;ru
Приятно, качественно, быстро! Могу оставить только положительные отзывы!;5;1;ru
Благодарю. Мне все понравилось.;5;1;ru
Обслуживание  отличное и  доброжелательное,все  пришло  в  указанные  сроки.  Товар  надлежащего  качества,ожидания  оправдал.  Рекомендую. Спасибо.;5;1;ru
Всё пришло,супер.Рекомендую и буду заказывать;5;1;ru
быстро, качественно.;5;1;ru
приняли заказ, договорились, после отказались от продажи заказов.;1;0;ru
Заказ отправили быстро, товар отличного качества, всем рекомендую!!! ;5;1;ru
Купил два аккумулятора и был очень не доволен. Это явный китайский Китай. Заряд не держит даже пол дня. Перед покупкой, несколько раз переспросил, оригинальный или нет. Меня заверили на все100 %, что он Оригинальный. Так как брал в отпуск, теперь о возврате товара речи нет. Если не знаете ничего о товаре, не утверждаете что он хороший. ;2;0;ru
не верная цена, через неделю цену не поменяли;1;0;ru
Товар качественный, мне очень понравилось!!! Ребята заказывать здесь без сомнений.;5;1;ru
Заказывала босоножки продовец, очень хороший, и вежливый что очень понравилось хорошо посоветовала мне очень понравилось обслуживание. Спасибо большое  продавцу за, его работу, и отношение к клиентам. ;5;1;ru
Связываются быстро , легко добраться, от метро не далеко;5;1;ru
"Заказывала бязь голд. Принт соответствует фото, качество - описанию.  После стирки цвет не ушел. Было опасение, что станет как тряпочка, но нет, все норм. Правда рулон оказался из 2х кусков (43 и 7 м), но это не катастрофа. 
Спасибо ""Черешенке""";5;1;ru
Спасибо большое за заказ и оперативность )) Всем довольна )) Все очень понравилось.  Рекомендую!;5;1;ru
"Заказывал свечи "" Денсо"" прислали не известно что в старой рваной упаковке ""Тайота"". На мое возмущение парень который принимал заказ сказал, что было то и прислали нам такие поставщики присылают, свечи говорит оригинальные а вы ничего в свечах не понимаете. Очень разочарован покупкой.";1;0;ru
Всем рекомендую.Товар соответствует описанию и самая низкая цена.;5;1;ru
Заказывались босоножки, довольна очень и очень. Сроки соблюдали и по цене не обидели. Рекомендую покупать, и буду еще обращаться 100%;5;1;ru
Все прибыло вовремя, наушники хороши;5;1;ru
Купальником очень довольна, Качество хорошее. Ирина помогла с размером и заказ быстро получила. Спасибо!;5;1;ru
сделали скидку как постоянному клиенту);5;1;ru
Покупала конкурные сапоги TuffRider. Пришли довольно быстро . Очень доброжелательный продавец и хороший сервис . В подарок положили довольно не плохие гольфист . Внутри мягкая кожа , приятно носить . Не много натирают в пятке , из-за того что сильно резинки затянула . Довольно удобные в носке . Спасибо компании lux-equine за такие чудесные сапоги ));5;1;ru
"Спасибо большущеееее))) Всё так оперативно, ну просто очень быстро!! Я очень довольна)) ""А качество костюмов просто бомба, не ожидала даже! Заказывала у вас первый раз. И точно не последний))) ";5;1;ru
Рекомендую данную компанию.Все быстро и качественно. ;5;1;ru
заказал 2 сейфа.Оговорили нюансы и стоимость,пришло в срок.Заплатил больше немного оговоренной цены,почему поменялась цена не объяснили.;4;1;ru
очень оперативно, всем доволен;5;1;ru
очень хорошая компания;5;1;ru
"Уже второй раз покупаю продукцию данного магазина. Чётко, оперативно, лаконично, обратная связь на уровне!!! 
Жигалов Константин";5;1;ru
Частенько заказываю духи в этом магазине,и всегда все на высшем уровне.;5;1;ru
100%ок,связались сразу после празничного выходного.Доволен!;5;1;ru
Очень хороший магазин .Большой ассортимент.  Всем рекомендую !!!;5;1;ru
Четко. В срок. Все необходимое есть.;5;1;ru
Огромное Вам спасибо,всем доволен,хороший магазин.Рекомендую всем.;5;1;ru
Все понравилось,  заказ пришел вовремя,  качество продукции очень понравилось буду заказывать еще и буду рекомендовать друзьям;5;1;ru
Обещали оригинальный аккум, но прислали дешевую подделку.;3;0;ru
Спасибо ребятам за оперативность. Отправили заказ в тот же день. Рекомендую.;5;1;ru
Товар заказываю уже не раз,товаром осталась довольна.Спасибо сотрудникам за оперативность.Желаю процветания!!!;5;1;ru
Хороший магазин, оперативно помогли заказать товар и отправили посылку в день оплаты.;5;1;ru
Спасибо,  велосипед супер) ;5;1;ru
Заказывала юбку, качество хорошее ) всем довольна ;5;1;ru
Спасибо за конструктор.Отличный продавец.Рекомендую к сотрудничеству.;5;1;ru
товар очень большемерит, размеры до 58 одевает и 62 размер, пересмотрите свою сетку и описание размеров,в остальном хорошо;4;1;ru
Все понравилось, связались очень быстро, качеством товара довольна,рекомендую!;5;1;ru
очень плохо,ждал три дня звонка.;1;0;ru
Спасибо!!! все супер!!! отдельное спасибо за быструю доставку!!!;5;1;ru
спасибо за сотрудничество! рекомендую!;5;1;ru
Здравствуйте! К сожалению разочарована сотрудничество с вами! Обьясню причину. Оформила у вас заказ, три товара, которые отправили мне двумя посылками. По семейным обстоятельствам у меня не получилось забрать их в срок. Через 7 дней на НП мне сообщили, что вы запросили товар обратно. Мне интересно на каком основании? Товар оплачен на 100% и это уже моя забота когда я его заберу и заберу ли вообще!!! Я ещё понимаю если б оформлялся наложным платежом. Или это нормальная практика - получить деньги и забрать товар обратно? Тем более при оформлении заказа ваш сотрудник не предупредил о том, что возможен возврат! К сожалению по указанным номерам телефонов мне сегодня никто не ответил! Интересует дальнейшая судьба моего заказа! Надеюсь на положительное решение вопроса!!!! ;1;0;ru
спасибо за сотрудничество! рекомендую!;5;1;ru
"Заказал смарт-часы V8. Пришли "" мертвыми"". Не включаются даже после зарядки. Заказывал наложенным платежом, думал, что не будет подобных проблем. А вот однако же! Если магазин оперативно сработает - поменяю отзыв.";1;0;ru
Спасибо. Племянники довольны ));5;1;ru
"Не люблю писать негативные отзывы, но здесь иного выхода нет - это ужасный магазин. Заказывала 3 вещи, оплатила, получила посылку - 1 вещь не пришла. сразу позвонила оператору, девушка предложила или вернуть деньги, или заказать что-то другое. я совершила ошибку и выбрала вещь на замену. в итоге, мне прислали абсолютно другое платье, даже отдаленно не похожее на то, что я заказывала. менеджер пообещала рассмотреть мою жалобу в течение суток. в итоге, уже 2 суток прошло, мне никто не звонит и на мои звонки не отвечают. завтра буду звонить еще и добиваться справедливости. дело не в этой тряпке даже, а в непрофессионализме и наплевательском отношении к покупателю. сколько раз я заказывала в интернете - всегда, если не было вещи на складе, менеджер перезванивал и мы решали этот вопрос ДО отправки товара. а здесь прислали какую-то фигню и делают вид, что все нормально и так и должно быть.
кстати, я повелась на отличные отзывы, но потом внимательно прочла - да 85% один человек писал, везде ошибки одинаковые и ""реально"" и ""ну"" почти в каждом сообщении. 
так что буду ждать разрешения ситуации, а если не дождусь - придется идти дальше, закон о правах потребителя мне в помощь)";1;0;ru
все супер. спасибо буду заказывать ещё;5;1;ru
Спасибо  огромное за наш супер  велосипед  трехколесный.  Ребёнок  и мы в восторге.  Рекомендую  100 %☺️;5;1;ru
Очень приятный и квалифицированный продавец. Заказ выполнен очень быстро, качество отменное;5;1;ru
спасибо все супер, рекомендую и еще буду делать заказы;5;1;ru
Спасибо за качественную продукцию, очень довольна покупкой. Буду заказывать у вас и в дальнейшем. ;5;1;ru
Все чётко, можно заказывать ;5;1;ru
оперативно. рекомендую.;4;1;ru
Заказал 2 бутылки 500 мл, очень доволен покупкой! Всё, на самом деле очень дешево.;5;1;ru
Много раз делал заказы.Доволен. Рекомендую.;5;1;ru
Компания хорошая , хотел заказать через НП , но они сказали , что можно через Укрпочту и они оплачивают доставку ко мне , что больше чем хорошо , но вот качество товара (повер банк) ... заставило желать лучшего (отклеивалась панель для зарядки от солнца) , пришлось покупать клей и приклеивать его , но всё работало , я понимаю , что они не производители , но товар можно проверить на целостность.;2;0;ru
Отличный магазин по качеству товара с очень доступной ценовой политикой!заказываю уже на протяжении полу года, всегда идут на уступки!РЕКОМЕНДУЮ даный магазин всем!;5;1;ru
Спасибо за оперативность и быстрота доставки! ;5;1;ru
Спасибо!Сумки очень понравились лучше даже чем на фото,обслуживание на высоте.;5;1;ru
Огромное спасибо за заказ! Супер!;5;1;ru
Спасибо большое за вовремя выполненный заказ. Буду к Вам обращаться ещё.  ;5;1;ru
Отличный магазин, прекрасные цены. отправили заказ на следующий день. Девушка-менеджер очень приятная);5;1;ru
Сработали очень оперативно. И отправили через пару часов. Рекомендую;5;1;ru
"Качественный товар
Приятный менеджер.";5;1;ru
Отличный магазин, оперативная работа менеджеров, рекомендую!;5;1;ru
Все супер, позвонила девушка очень быстро ,помогла определиться с цветом и отправила Амжилт же день. Отличный продавец 👍;5;1;ru
заказал химию для машины, получил вовремя,все как и договаривались,рекомендую;5;1;ru
" Заказывал обод. Посылка пришла хорошо упакованной. Обод выровнен (наверняка на станке) очень даже хорошо - можно сразу ехать, без подрегулирования.
Единственный минус - что цена поднялась ""аж"" на две гривны за двое суток (заказывал перед выходными). Но, возможно, продавец не успел откорректировать цену на сайте.
Однозначно, буду пользоваться услугами этой компании еще. Велосипед у меня не один:))";5;1;ru
отличная компания, постоянно с ними работаю;5;1;ru
Не рекомендую. Даже не перезвонили;2;0;ru
прежде чем сказать о том, что товар полностью соответствует цена-качество, огромная благодарность менеджеру Анастасии. Единственная из менеджеров, где есть данный товар, которая четко, абсолютно точно и ,войдя в положение по срокам доставки, максимально приложила усилий, чтобы клиент был доволен. Очень рекомендую этот магазин! Анастасия - респект! Так держать!;5;1;ru
"В данном интернет-магазине заказ сделала впервые.В понедельник оформила,во вторник уже все отправили,т.е.собрали посылочку быстро.При отправке заказа мне на вайбер отправили фото накладной,что очень удобно при проверке содержимого ( накладная всегда с тобой ).Вся заказанная продукция оказалась в наличии,что является немаловажным фактором.Посылка пришла быстро(через 2 дня).Каждая позиция товара во избежание повреждения была отдельно упакована в стрейч-пленку.В этом магазине смогла найти много продукции марки Cien (хороший разнообразный выбор),Persil,Gallus.Последнее время стараюсь приобретать продукцию европейских брендов,потому что в обычных магазинах много подделок, качество и ассортимент предлагаемых товаров оставляет желать лучшего.Исходя из всего вышеперечисленного делаю выводы: здесь заботятся о покупателе,предлагая хороший выбор качественных товаров по интересным ценам,здесь интересуются остались ли мы довольны покупкой и вернемся ли в этот магазин...Могу ответить ""Да'' . И обязательно посоветую знакомым сюда заглядывать.Спасибо ребятам да их нелегкий труд!";5;1;ru
"Заказывал несколько раз, качеством обслуживания и товара полностью удовлетворён. 
Отдельно радует, что берутся за небольшие заказы. ";5;1;ru
Отличный интернет-магазин! Со мною быстро связались и отправили заказ.Товар соответствует заявленному описанию. ;5;1;ru
